image_id,filename,disease_label,disease_code,relative_path,full_path,split
SEH001,20231006_163740.jpg,sehat,0,sehat\20231006_163740.jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_163740.jpg,train
SEH002,20231006_163746.jpg,sehat,0,sehat\20231006_163746.jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_163746.jpg,train
SEH003,20231006_165517(0).jpg,sehat,0,sehat\20231006_165517(0).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_165517(0).jpg,train
SEH004,20231006_165518.jpg,sehat,0,sehat\20231006_165518.jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_165518.jpg,train
SEH005,Healthy_rice_leaf (10).jpg,sehat,0,sehat\Healthy_rice_leaf (10).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (10).jpg,train
SEH006,Healthy_rice_leaf (100).jpg,sehat,0,sehat\Healthy_rice_leaf (100).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (100).jpg,train
SEH008,Healthy_rice_leaf (102).jpg,sehat,0,sehat\Healthy_rice_leaf (102).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (102).jpg,train
SEH009,Healthy_rice_leaf (106).jpg,sehat,0,sehat\Healthy_rice_leaf (106).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (106).jpg,train
SEH010,Healthy_rice_leaf (107).jpg,sehat,0,sehat\Healthy_rice_leaf (107).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (107).jpg,train
SEH011,Healthy_rice_leaf (108).jpg,sehat,0,sehat\Healthy_rice_leaf (108).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (108).jpg,train
SEH012,Healthy_rice_leaf (109).jpg,sehat,0,sehat\Healthy_rice_leaf (109).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (109).jpg,train
SEH013,Healthy_rice_leaf (11).jpg,sehat,0,sehat\Healthy_rice_leaf (11).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (11).jpg,train
SEH014,Healthy_rice_leaf (110).jpg,sehat,0,sehat\Healthy_rice_leaf (110).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (110).jpg,train
SEH015,Healthy_rice_leaf (111).jpg,sehat,0,sehat\Healthy_rice_leaf (111).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (111).jpg,train
SEH016,Healthy_rice_leaf (112).jpg,sehat,0,sehat\Healthy_rice_leaf (112).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (112).jpg,train
SEH017,Healthy_rice_leaf (113).jpg,sehat,0,sehat\Healthy_rice_leaf (113).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (113).jpg,train
SEH018,Healthy_rice_leaf (117).jpg,sehat,0,sehat\Healthy_rice_leaf (117).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (117).jpg,train
SEH020,Healthy_rice_leaf (119).jpg,sehat,0,sehat\Healthy_rice_leaf (119).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (119).jpg,train
SEH022,Healthy_rice_leaf (121).jpg,sehat,0,sehat\Healthy_rice_leaf (121).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (121).jpg,train
SEH023,Healthy_rice_leaf (14).jpg,sehat,0,sehat\Healthy_rice_leaf (14).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (14).jpg,train
