image_id,filename,disease_label,disease_code,relative_path,full_path,file_size_kb,img_format,image_hash,split,resize_width,resize_height,binarisasi_applied,binarisasi_method,prescale_applied,prescale_range,size_norm,kecamatan,avg_temp,avg_humidity,total_precip,avg_drought,avg_uv,avg_wind,obs_count,musim,sumber_api,n_laporan,avg_kerugian_pct,avg_luas_ha,avg_serangan_pct
SEH001,20231006_163740.jpg,sehat,0,sehat\20231006_163740.jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_163740.jpg,477.0,.jpg,3f1e58038797ccc0,train,224,224,True,Otsu,True,"[0.0, 1.0]",0.0677,Indramayu,28.618,79.361,6.4,0.375,2.533,6.551,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH002,20231006_163746.jpg,sehat,0,sehat\20231006_163746.jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_163746.jpg,474.2,.jpg,f14ad280ce177068,train,224,224,True,Otsu,True,"[0.0, 1.0]",0.0672,Indramayu,28.618,79.361,6.4,0.375,2.533,6.551,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH003,20231006_165517(0).jpg,sehat,0,sehat\20231006_165517(0).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_165517(0).jpg,211.2,.jpg,1587ced7449e13fb,train,224,224,True,Otsu,True,"[0.0, 1.0]",0.0272,Kandanghaur,28.485,82.75,18.0,0.314,2.533,4.613,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH004,20231006_165518.jpg,sehat,0,sehat\20231006_165518.jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_165518.jpg,214.3,.jpg,9f12309b9fe61f83,train,224,224,True,Otsu,True,"[0.0, 1.0]",0.0277,Haurgeulis,28.297,82.444,11.0,0.319,2.533,5.251,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH005,Healthy_rice_leaf (10).jpg,sehat,0,sehat\Healthy_rice_leaf (10).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (10).jpg,880.8,.jpg,ec850412e4ba7a08,train,224,224,True,Otsu,True,"[0.0, 1.0]",0.1291,Indramayu,28.618,79.361,6.4,0.375,2.533,6.551,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH006,Healthy_rice_leaf (100).jpg,sehat,0,sehat\Healthy_rice_leaf (100).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (100).jpg,6601.0,.jpg,ab85f40af4634928,train,224,224,True,Otsu,True,"[0.0, 1.0]",1.0,Jatibarang,28.062,82.458,12.0,0.319,2.533,5.075,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH007,Healthy_rice_leaf (101).jpg,sehat,0,sehat\Healthy_rice_leaf (101).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (101).jpg,4612.3,.jpg,5fe6ececb8849e0f,val,224,224,True,Otsu,True,"[0.0, 1.0]",0.6972,Kandanghaur,28.485,82.75,18.0,0.314,2.533,4.613,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH008,Healthy_rice_leaf (102).jpg,sehat,0,sehat\Healthy_rice_leaf (102).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (102).jpg,5826.6,.jpg,abd0742798d195ed,train,224,224,True,Otsu,True,"[0.0, 1.0]",0.8821,Indramayu,28.618,79.361,6.4,0.375,2.533,6.551,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH009,Healthy_rice_leaf (106).jpg,sehat,0,sehat\Healthy_rice_leaf (106).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (106).jpg,1288.4,.jpg,f574fe947fcce0b3,train,224,224,True,Otsu,True,"[0.0, 1.0]",0.1912,Jatibarang,28.062,82.458,12.0,0.319,2.533,5.075,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH010,Healthy_rice_leaf (107).jpg,sehat,0,sehat\Healthy_rice_leaf (107).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (107).jpg,1818.1,.jpg,94998379853a8a7e,train,224,224,True,Otsu,True,"[0.0, 1.0]",0.2718,Indramayu,28.618,79.361,6.4,0.375,2.533,6.551,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
SEH011,Healthy_rice_leaf (108).jpg,sehat,0,sehat\Healthy_rice_leaf (108).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (108).jpg,1908.2,.jpg,831b6fcae0f58558,train,224,224,True,Otsu,True,"[0.0, 1.0]",0.2856,Haurgeulis,28.297,82.444,11.0,0.319,2.533,5.251,72,Gadu,OPENMETEO_API,26,0.0,1.202,0.0
