image_id,filename,disease_label,disease_code,relative_path,full_path,file_size_kb,img_format,image_hash,split
SEH001,20231006_163740.jpg,sehat,0,sehat\20231006_163740.jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_163740.jpg,477.0,.jpg,3f1e58038797ccc0,train
SEH002,20231006_163746.jpg,sehat,0,sehat\20231006_163746.jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_163746.jpg,474.2,.jpg,f14ad280ce177068,train
SEH003,20231006_165517(0).jpg,sehat,0,sehat\20231006_165517(0).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_165517(0).jpg,211.2,.jpg,1587ced7449e13fb,train
SEH004,20231006_165518.jpg,sehat,0,sehat\20231006_165518.jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\20231006_165518.jpg,214.3,.jpg,9f12309b9fe61f83,train
SEH005,Healthy_rice_leaf (10).jpg,sehat,0,sehat\Healthy_rice_leaf (10).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (10).jpg,880.8,.jpg,ec850412e4ba7a08,train
SEH006,Healthy_rice_leaf (100).jpg,sehat,0,sehat\Healthy_rice_leaf (100).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (100).jpg,6601.0,.jpg,ab85f40af4634928,train
SEH007,Healthy_rice_leaf (101).jpg,sehat,0,sehat\Healthy_rice_leaf (101).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (101).jpg,4612.3,.jpg,5fe6ececb8849e0f,val
SEH008,Healthy_rice_leaf (102).jpg,sehat,0,sehat\Healthy_rice_leaf (102).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (102).jpg,5826.6,.jpg,abd0742798d195ed,train
SEH009,Healthy_rice_leaf (106).jpg,sehat,0,sehat\Healthy_rice_leaf (106).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (106).jpg,1288.4,.jpg,f574fe947fcce0b3,train
SEH010,Healthy_rice_leaf (107).jpg,sehat,0,sehat\Healthy_rice_leaf (107).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (107).jpg,1818.1,.jpg,94998379853a8a7e,train
SEH011,Healthy_rice_leaf (108).jpg,sehat,0,sehat\Healthy_rice_leaf (108).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (108).jpg,1908.2,.jpg,831b6fcae0f58558,train
SEH012,Healthy_rice_leaf (109).jpg,sehat,0,sehat\Healthy_rice_leaf (109).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (109).jpg,1708.6,.jpg,a7d20aa11458fab9,train
SEH013,Healthy_rice_leaf (11).jpg,sehat,0,sehat\Healthy_rice_leaf (11).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (11).jpg,243.8,.jpg,88ac0f190f6ca57e,train
SEH014,Healthy_rice_leaf (110).jpg,sehat,0,sehat\Healthy_rice_leaf (110).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (110).jpg,1723.1,.jpg,7d74c31118b025de,train
SEH015,Healthy_rice_leaf (111).jpg,sehat,0,sehat\Healthy_rice_leaf (111).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (111).jpg,1898.4,.jpg,3731701cc4f0d09e,train
SEH016,Healthy_rice_leaf (112).jpg,sehat,0,sehat\Healthy_rice_leaf (112).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (112).jpg,1880.0,.jpg,5203eeb4aeaf5543,train
SEH017,Healthy_rice_leaf (113).jpg,sehat,0,sehat\Healthy_rice_leaf (113).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (113).jpg,1470.6,.jpg,2055344340a637f7,train
SEH018,Healthy_rice_leaf (117).jpg,sehat,0,sehat\Healthy_rice_leaf (117).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (117).jpg,1917.9,.jpg,9539791b2206d308,train
SEH019,Healthy_rice_leaf (118).jpg,sehat,0,sehat\Healthy_rice_leaf (118).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (118).jpg,1715.4,.jpg,27ff0457cfd1741e,val
SEH020,Healthy_rice_leaf (119).jpg,sehat,0,sehat\Healthy_rice_leaf (119).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (119).jpg,1681.7,.jpg,55d14759ab7729c3,train
SEH021,Healthy_rice_leaf (120).jpg,sehat,0,sehat\Healthy_rice_leaf (120).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (120).jpg,1573.6,.jpg,378a57c2c57f8330,val
SEH022,Healthy_rice_leaf (121).jpg,sehat,0,sehat\Healthy_rice_leaf (121).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (121).jpg,1494.3,.jpg,72c7b1b63f9ec4f8,train
SEH023,Healthy_rice_leaf (14).jpg,sehat,0,sehat\Healthy_rice_leaf (14).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (14).jpg,1649.1,.jpg,703452ab019d2557,train
SEH024,Healthy_rice_leaf (179).jpg,sehat,0,sehat\Healthy_rice_leaf (179).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (179).jpg,560.2,.jpg,335f93c3cec54f88,train
SEH025,Healthy_rice_leaf (18).jpg,sehat,0,sehat\Healthy_rice_leaf (18).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (18).jpg,297.8,.jpg,4000faf2c5e89762,test
SEH026,Healthy_rice_leaf (19).jpg,sehat,0,sehat\Healthy_rice_leaf (19).jpg,C:\ML\bigdata\Penyakit_Daun_Padi_Indonesia\sehat\Healthy_rice_leaf (19).jpg,491.3,.jpg,7c22ffb308d20834,train
