station_id,kecamatan,kabupaten,latitude,longitude,elevasi_m,timestamp,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,weather_code,cuaca,drought_index,uv_index,musim,source
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 00:00:00,26.6,89,0.0,6.7,3,Berawan,0.2,0.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 01:00:00,26.0,90,0.0,4.7,3,Berawan,0.182,0.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 02:00:00,25.9,89,0.0,3.7,3,Berawan,0.2,0.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 03:00:00,25.8,89,0.0,3.5,2,Berawan,0.2,0.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 04:00:00,25.7,89,0.0,3.8,2,Berawan,0.2,0.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 05:00:00,25.5,90,0.0,3.2,3,Berawan,0.182,0.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 06:00:00,25.4,92,0.0,3.2,3,Berawan,0.145,0.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 07:00:00,25.9,88,0.0,3.0,3,Berawan,0.218,2.1,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 08:00:00,27.3,83,0.0,3.2,3,Berawan,0.309,4.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 09:00:00,28.9,77,0.0,3.5,2,Berawan,0.418,5.7,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 10:00:00,30.2,69,0.0,4.4,2,Berawan,0.564,6.9,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 11:00:00,31.4,63,0.0,4.0,2,Berawan,0.673,7.7,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 12:00:00,32.2,60,0.0,4.1,2,Berawan,0.727,8.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 13:00:00,32.8,58,0.0,5.4,2,Berawan,0.764,7.7,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 14:00:00,32.9,58,0.0,8.4,3,Berawan,0.764,6.9,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 15:00:00,32.0,63,0.0,12.8,2,Berawan,0.673,5.7,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 16:00:00,30.9,66,0.0,12.6,3,Berawan,0.618,4.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 17:00:00,30.3,67,0.0,9.8,3,Berawan,0.6,2.1,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 18:00:00,29.7,70,0.0,4.7,3,Berawan,0.545,0.0,Gadu,OPENMETEO_API
STN01,Indramayu,Indramayu,-6.33,108.32,7,2026-04-12 19:00:00,28.4,79,2.6,3.9,96,Hujan Lebat,0.382,0.0,Gadu,OPENMETEO_API
